datetime;ip;operation;ok;http_status;message
2026-09-03T08:00:32;10.83.171.2;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:32;10.88.171.15;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:32;10.83.171.5;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:32;10.87.22.5;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:32;10.86.171.10;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:32;10.91.171.13;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:32;10.91.171.10;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:32;10.91.171.12;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:32;10.88.171.16;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:32;10.91.171.14;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:32;10.83.171.7;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:32;10.91.171.15;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:33;10.82.9.2;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:33;10.88.171.17;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:33;10.91.171.17;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:33;10.82.9.3;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:33;10.91.171.18;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:33;10.79.59.7;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:33;10.82.9.4;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:33;10.79.59.6;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:33;10.91.171.19;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:33;10.77.171.20;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:33;10.91.171.20;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:33;10.100.61.6;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:33;10.100.61.5;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:33;10.78.17.3;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:33;10.88.196.8;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:33;10.87.22.6;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:33;10.88.196.9;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:33;10.100.61.7;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:33;10.94.1.2;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:33;10.78.17.4;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:33;10.91.171.21;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:34;10.100.61.8;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:34;10.82.9.5;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:34;10.90.171.78;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:34;10.64.171.4;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:34;10.64.171.3;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:34;10.64.171.5;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:34;10.64.171.6;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:34;10.64.171.7;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:34;10.64.171.8;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:34;10.87.22.7;offline;YES;200;assistant.enable=true, online=false
